Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Próx. rivalRival,Valor,Valor ant.Ant.,Posición
Rupérez,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,393ddías,0%,1.626.247,0 | 0 | 0 | 0 | 0 | 0,Defensa
Balda,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,393ddías,0%,1.718.912,0 | 0 | 0 | 0 | 0 | 0,Defensa
Santana,Valencia,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,393ddías,🏠,1.723.821,0 | 0 | 0 | 0 | 0 | 0,Delantero
Rivas,Real Madrid,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,393ddías,,1.718.751,0 | 0 | 0 | 0 | 0 | 0,Defensa
Abril,Valencia,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,393ddías,🏠,1.728.051,0 | 0 | 0 | 0 | 0 | 0,Portero
Cortés,Barcelona,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,393ddías,,1.718.327,0 | 0 | 0 | 0 | 0 | 0,Defensa
Requena,Levante,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,393ddías,10%,1.621.683,0 | 0 | 0 | 0 | 0 | 0,Mediocampista
Yaakobishvili,Barcelona,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,393ddías,,1.639.280,0 | 0 | 0 | 0 | 0 | 0,Portero
Canales,Athletic,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,393ddías,🏠 10%,1.623.251,0 | 0 | 0 | 0 | 0 | 0,Delantero
Carlos,Atlético,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,393ddías,🏠,1.718.547,0 | 0 | 0 | 0 | 0 | 0,Defensa
Juan Cruz,Málaga,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,431ddías,40%,19.968.443,0 | 0 | 0 | 0 | 0 | 0,Mediocampista
Morro,Rayo,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,697ddías,0%,723.425,0 | 0 | 0 | 0 | 0 | 0,Portero
Mandi,Levante,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,714ddías,80%,1.879.755,0 | 0 | 0 | 0 | 0 | 0,Defensa
Miguel,Alavés,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,715ddías,🏠 20%,679.761,0 | 0 | 0 | 0 | 0 | 0,Delantero
Joseda,Alavés,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,759ddías,🏠,300.000,0 | 0 | 0 | 0 | 0 | 0,Defensa
Diallo,Alavés,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,760ddías,🏠 0%,1.000.000,0 | 0 | 0 | 0 | 0 | 0,Mediocampista
Mendes,Alavés,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,760ddías,🏠,500.000,0 | 0 | 0 | 0 | 0 | 0,Mediocampista
Ian Forns,Betis,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,760ddías,🏠,500.000,0 | 0 | 0 | 0 | 0 | 0,Defensa
Mario,Valencia,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,760ddías,🏠,500.000,0 | 0 | 0 | 0 | 0 | 0,Delantero
Mario,Valencia,0 | 0 | 0 | 0 | 0 | 0,0% | 0% | 0% | 0% | 0% | 0%,,1ddías,🏠,760.408,0 | 0 | 0 | 0 | 0 | 0,Mediocampista
